"","brand","product","name","specific","lightness","hex","lightToDark","numbers","id"
"1845","Givenchy","Teint Couture City Balm Radiant Perfecting Skin Tint SPF 25",NA,"N104",0.782352941176471,"#E0C5AF",TRUE,104,107
"1846","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","Nude Buff","104.5",0.715686274509804,"#D8B195",TRUE,104.5,90
"1847","KVD Vegan Beauty","Lock-It Powder Foundation","Fair","105",0.803921568627451,"#DAC8C0",TRUE,105,108
"1848","KVD Vegan Beauty","Lock-It Powder Foundation Refills","Fair","105",0.813725490196078,"#EDC7B2",TRUE,105,109
"1849","Maybelline","Fit Me Matte + Poreless Liquid Foundation","Fair Ivory","105",0.941176470588235,"#FEEDE2",TRUE,105,104
"1850","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","Natural Beige","105",0.694117647058824,"#EBAF77",TRUE,105,90
"1851","Maybelline","Super Stay Full Coverage Foundation","Fairy Ivory","105",0.776470588235294,"#E1C3AB",TRUE,105,105
"1852","ColourPop","Pretty Fresh Foundation","Medium","105N",0.686274509803922,"#CCA792",TRUE,105,65
"1853","Dose Of Colors","Meet Your Hue Foundation","Fair","105",0.901960784313726,"#FAE2D2",TRUE,105,103
"1854","FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Powder Foundation",NA,"105",0.850980392156863,"#F2DCC0",TRUE,105,96
"1855","FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Longwear Foundation",NA,"105",0.854901960784314,"#FFE3B5",TRUE,105,97
"1856","FENTY BEAUTY by Rihanna","Pro Filt'r Hydrating Longwear Foundation",NA,"105",0.856862745098039,"#FFE3B6",TRUE,105,99
"1857","Bite Beauty","Changemaker Supercharged Micellar Foundation",NA,"T105",0.643137254901961,"#CD997B",TRUE,105,82
"1858","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","Sun Beige","106",0.62156862745098,"#DA9C63",TRUE,106,90
"1859","Dose Of Colors","Meet Your Hue Foundation","Fair","106",0.837254901960784,"#F5D1B6",TRUE,106,103
"1860","AMOREPACIFIC","Color Control Cushion Compact Broad Spectrum SPF 50+","Medium Pink","106",0.701960784313725,"#D8AA8E",TRUE,106,106
"1861","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","Shell","106.5",0.992156862745098,"#FEFDFC",TRUE,106.5,90
"1862","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","Fresh Beige","107",0.601960784313725,"#D5995E",TRUE,107,90
